feature,score
Coupon_count,6747.0
Coupon_give_monthday,5873.0
Merchant_give_count,4211.0
Merhcant_give_coupon_use_rate,4176.0
Other_user_received_count,3526.0
Merchant_mean_distance,3467.0
User_received_use_mean_gap,3388.0
Distance,2917.0
Merchant_sale_count,2870.0
Coupon_discount_rate,2642.0
Other_user_coupon_after_received_gap,2543.0
User_received_use_max_gap,2390.0
User_received_count,2382.0
Other_user_coupon_before_received_gap,2055.0
Ohter_user_coupon_received_count,2009.0
User_received_use_min_gap,1951.0
user_received_coupon_use_rate,1860.0
User_Merchant_received_count,1747.0
Merchant_sale_use_coupon_count,1566.0
Coupon_discount_man,1521.0
Coupon_discount_jian,1408.0
User_browser_count,1320.0
User_buy_use_coupon_count,1276.0
Merchant_max_distance,1123.0
User_Merchant_received_use_coupon_rate,1119.0
User_Merchant_browse_count,1004.0
Other_user_oneday_received_count,999.0
User_Merchant_buy_count,992.0
User_mean_distance,684.0
User_buy_count,680.0
Coupon_give_weekday_is_weekend,651.0
Coupon_give_weekday_4,641.0
Coupon_give_weekday_3,637.0
User_Merchant_browse_use_coupon_rate,634.0
Coupon_give_weekday_1,633.0
User_max_distance,629.0
Coupon_give_weekday_5,620.0
Other_user_is_last_received,607.0
Coupon_give_weekday_2,555.0
User_buy_merchant_count,538.0
User_min_distance,531.0
User_received_use_gap,514.0
Coupon_give_weekday_6,509.0
User_Merchant_buy_use_coupon_count,499.0
Coupon_give_weekday_7,445.0
Other_user_is_first_received,406.0
Merchant_min_distance,371.0
User_median_distance,342.0
Other_user_oneday_Coupon_received_count,331.0
User_Merchant_browser_use_coupon_rate,294.0
Coupon_discount_type,210.0
User_buy_use_coupon_rate,29.0
Merchant_sale_use_coupon_rate,25.0
User_Merchant_buy_use_coupon_rate,7.0
